Sophia Webster| in| signature
second| is| defined
features pieces|poised| modern-day Cinderella moment
features pieces|poised| Cinderella moment
Rihanna| has| latest racing-inspired Fenty Puma collection
second|follow| May 12
second|follow| May 12 Celebrated in month
Gudi Padwa|beginning| spring
Puma x Sophia Webster capsule|drop| March 17
Gudi Padwa|marks| beginning of spring
second|follow| May 12 Celebrated in month of March
Gudi Padwa|marks| beginning
second|follow| May 12 Celebrated
Hoisting|one| features
Hoisting|one| features
Hoisting|one| key features of celebrations
Hoisting|one| key features
Hoisting|one| features of celebrations
Hoisting|one| features of celebrations
Hoisting|one| key features of celebrations
Hoisting|one| key features
Nidhi Tholia| with| brocade kurta set
PM| has| pastel number
Kora| of| kurta
sync| is with| occasion opt for bright coloured outfits
Anavila| in| red number
things|light| Anavila 's number
things|light| Anavila 's red number
Stay| is in| sync
Stay| is with| festive vibe
Pero| of| autumn/winter '18 show own
Aneeth Arora| has| collection
designer|swapped| Aneeth Arora 's dark colour palette
Aneeth Arora| has| otherwise dark colour palette
designer|swapped| Aneeth Arora 's otherwise dark colour palette
designer|swapped| Aneeth Arora 's colour palette
set| had| live counter candy makers
set| had| counter candy makers
set|also| counter skillful candy makers from Papabubble
set|also| live counter candy makers
set|also| live counter skillful candy makers from Papabubble
set| had| live counter skillful candy makers from Papabubble
set| had| counter skillful candy makers from Papabubble
set|also| live counter candy makers from Papabubble
set|also| counter candy makers from Papabubble
set|also| counter candy makers
set| had| counter skillful candy makers
set| had| live counter candy makers from Papabubble
set|also| counter skillful candy makers
set|also| live counter skillful candy makers
set| had| counter candy makers from Papabubble
set| had| live counter skillful candy makers
set|Lending| mood
Kintsugi|art '| precious scars '
Kintsugi|art '| scars '
Kanika Goyal| has| recent collection
Kintsugi|art| precious scars '
Kintsugi| is| is Japanese art
Kintsugi|repairing pottery| lacquer dusted
Kintsugi| is| is art
Kintsugi|repairing| broken pottery
Kintsugi|repairing pottery| lacquer dusted with powdered gold
Kintsugi|repairing pottery| lacquer
Kintsugi|repairing pottery| lacquer dusted with gold
Tacheism| is| French
Kintsugi|repairing| pottery
brand| to| signature style of panelling
designer|stayed| true blocking with twist
designer|stayed| true to brand 's signature style of panelling blocking with playful twist
designer|stayed| blocking with playful twist
designer|stayed| true to brand 's signature style blocking with twist
designer|stayed| blocking with twist
designer|stayed| true blocking
designer|stayed| true to brand 's signature style blocking
designer|stayed| blocking
designer|stayed| true to brand 's signature style of panelling blocking
designer|stayed| true to brand 's signature style blocking with playful twist
designer|stayed| true blocking with playful twist
designer|stayed| true to brand 's signature style of panelling blocking with twist
High shine|dominated| designers collection
High shine|dominated| lines
High shine|dominated| abstract lines
dresses|jumpsuits| feather detailing
Namrata Joshipura|focused| evening wear
art|ruled| colour palette of blues
art|ruled| colour palette
art| was| ruled
art|ruled| colour palette of electric blues
fashion platform|finding fashion platform| general dip in morale of environment
fashion platform|finding fashion platform| dip in morale
fashion platform|finding fashion platform| dip
fashion platform|finding fashion platform| dip in morale of environment
fashion platform|finding fashion platform| general dip in morale
fashion platform|finding| established fashion platform
fashion platform|finding| fashion platform
general dip| is in| morale of environment
fashion platform|finding fashion platform| general dip
name|suggests| inspired by sartorial ways of streets
name|suggests| inspired by ways of streets
name|suggests| inspired by ways
name|inspired| sartorial ways of streets of New Delhi
name|suggests| inspired by sartorial ways
name|inspired| sartorial ways
name|suggests| inspired by sartorial ways of streets of New Delhi
name|inspired| sartorial ways of streets
name|inspired| ways of streets of New Delhi
Rakesh Thakore| has| collection
name|suggests| inspired by ways of streets of New Delhi
name|suggests| inspired
name|inspired| ways of streets
name|inspired| ways
David Abraham|long established| needs staying in prt space
David Abraham|long established| needs
David Abraham|long established| urban needs staying
David Abraham|established| David Abraham
David Abraham|established| urban needs
David Abraham|long established| needs staying
David Abraham|established| needs staying
David Abraham|established| urban needs staying in prt space
David Abraham|established| needs staying in prt space
David Abraham|established| urban needs staying
David Abraham|long established| David Abraham
David Abraham|established| needs
David Abraham|long established| urban needs
David Abraham|long established| urban needs staying in prt space
label|Abraham| urban needs staying in prt space
designers|showcased| designers trans-seasonal lineup of jackets worn
designers|showcased| designers trans-seasonal lineup of belted jackets worn over saris
designers|showcased| designers trans-seasonal lineup of belted jackets worn
designers|showcased| designers lineup of belted jackets worn
designers|showcased| designers lineup of belted jackets worn over saris
designers|showcased| designers lineup of jackets
designers|showcased| designers lineup
designers|showcased| designers lineup of belted jackets
designers|showcased| designers trans-seasonal lineup of jackets
designers|showcased| designers trans-seasonal lineup
designers|showcased| designers lineup of jackets worn over saris
designers|showcased| designers trans-seasonal lineup of belted jackets
designers|showcased| designers lineup of jackets worn
designers|showcased| designers trans-seasonal lineup of jackets worn over saris
workerthe references| were| self-explanatory
designer duo|experimented| colour
monochromatic pieces|variations| chintz
pieces|variations| chintz
designer duo|also experimented| colour
Rajesh Pratap Singh|amongst| designers
Rajesh Pratap Singh|amongst| designers seen
Rajesh Pratap Singh|amongst| designers seen at show
designers|seen| show
Dainty lace saris|seen| runway
Dainty lace saris|seen| more
Dainty lace saris| were| seen
Dainty lace saris|seen| lehengas
Dainty lace saris|seen| cocktail dresses
Diana Penty|sashayed| embellished skirt worn with velvet cowl top
Diana Penty|sashayed| skirt worn
Diana Penty|sashayed| skirt worn with velvet cowl top
Diana Penty|sashayed| embellished skirt
Diana Penty|sashayed| skirt
Diana Penty|sashayed| embellished skirt worn
Gauri|presented show| sponsor
Gauri|presented show| show
Gauri|presented show| same sponsor
Gauri|presented show| show of day
Gauri|presented show| last show
Gauri|presented| Ashish N Soni
Gauri|presented show| last show of day
Gauri|presented| show
Gauri|presented| joint show
labels|Keeping| lineup unified under monochrome
labels|went| glam with tie
labels|Keeping| lineup
labels|went| glam with tie dressing
labels|went| high glam with black tie
labels|went| high glam with tie
high glam| is with| black tie dressing
labels|went| high glam with tie dressing
labels|went| glam with black tie
labels|went| high glam
labels|went| high glam with black tie dressing
labels|went| glam
labels|went| glam with black tie dressing
labels|Keeping| lineup unified
tulle|lent| Gauri
tulle|lent Gauri| show
tulle|layers| ruffles
tulle|lent Gauri| joint show
Ashish N Soni|went| cuts
N Soni|went| sharp cuts
Ashish N Soni|went| sharp cuts
N Soni|went| cuts
Vaani Kapoor|opened| show
Vaani Kapoor|closed| show
Vaani Kapoor|opened| joint show
Vaani Kapoor|closed| show in tuxedo
Vaani Kapoor|opened show| gown
Vaani Kapoor|opened show| white gown
Vaani Kapoor|opened show| dramatic white gown by Gauri
Vaani Kapoor|opened show| dramatic gown
Vaani Kapoor|opened show| dramatic gown by Gauri
Vaani Kapoor|closed| joint show in tuxedo
Vaani Kapoor|opened show| white gown by Gauri
joint show| is in| tuxedo
Vaani Kapoor|opened show| gown by Gauri
Vaani Kapoor|closed show| Ashish N Soni
Vaani Kapoor|opened show| dramatic white gown
Vaani Kapoor|closed| joint show
last day| had| strongest lineup of days
last day| had| lineup of days
day| had| strongest lineup of days
day| had| lineup of days
Kanika Goyal| has| collaboration with Adidas Originals
Kanika Goyal|went| jackets with removable sleeves
Kanika Goyal|went| jackets
fitted dresses| is with| unusual panels slashing through print season
Kanika Goyal|went| asymmetric skirts
Kanika Goyal|went| skirts
jackets| is with| removable sleeves
Kanika Goyal|went| jackets with sleeves
design|imagining| colour palette
design|inspired| abstract art
design| was| inspired
design|inspired| art
Kanika Goyal|creating| formals for evening wear
Kanika Goyal|creating| structured formals for evening wear
Kanika Goyal|creating| structured formals
Kanika Goyal|loses| use of outlandish fabrics
Kanika Goyal|loses| use of fabrics
Kanika Goyal|creating| formals
Kanika Goyal|loses| use
Siddhartha Tytler|made| renewed comeback
Siddhartha Tytler|made| comeback
Siddhartha Tytler|made| comeback with Siddhartha Tytler collection
Siddhartha Tytler|made| renewed comeback with Siddhartha Tytler collection
Siddhartha Tytler| has| lineup of bomber jackets with oversized sleeves
menswear|stronger| comparison
menswear| was| Inarguably stronger
menswear|Inarguably stronger| comparison than womenswear
womenswear| is with| pieces
menswear| was| stronger
menswear|Inarguably stronger| comparison
menswear|stronger| comparison than womenswear
Former Miss India|friend| designer
show area|swathed| pink
show area| was| swathed
Rows|favours| sat
Rows|favours| sat on Rows
models| be in| warm sweaters
models| were| glad
models| be in| warm sweaters for once
models| be in| sweaters for once
models| be in| sweaters
People|associate| us
collection|comprised| Pro jackets Scottish tartans
collection|comprised| standard Pro jackets Scottish tartans
collection|comprised| hues
collection|comprised| hues pinks
collection|comprised| standard Pro jackets
collection|comprised| Pro jackets
collection|comprised| Pro jackets tartans
collection|comprised| standard Pro jackets tartans
winter flowers|embroidered| prints of flowers sewn
